dia,open,last,close,symbol,exchange,weekday,high_max,low_min,volume_sum,spline,date
2020-11-13 00:00:00+00:00,276.42,277.17,276.24,HD,IEXG,Friday,279.73,275.26,29720978.0,0,2020-11-13
2020-11-16 00:00:00+00:00,279.18,279.57,277.17,HD,IEXG,Monday,281.29,276.4,42218176.0,0,2020-11-16
2020-11-17 00:00:00+00:00,272.1,272.47,279.57,HD,IEXG,Tuesday,276.42,269.4001,111006927.0,0,2020-11-17
2020-11-18 00:00:00+00:00,270.5,269.83,272.47,HD,IEXG,Wednesday,275.38,269.0,46028417.0,0,2020-11-18
2020-11-19 00:00:00+00:00,270.42,270.93,269.83,HD,IEXG,Thursday,272.38,268.7,32856288.0,0,2020-11-19
2020-11-20 00:00:00+00:00,271.45,269.81,270.93,HD,IEXG,Friday,272.37,268.87,24341338.0,0,2020-11-20
2020-11-23 00:00:00+00:00,270.01,271.4,269.81,HD,IEXG,Monday,273.689,269.55,19684300.0,0,2020-11-23
2020-11-24 00:00:00+00:00,274.0,273.31,271.4,HD,IEXG,Tuesday,275.545,272.57,32818806.0,0,2020-11-24
2020-11-25 00:00:00+00:00,273.48,273.96,273.31,HD,IEXG,Wednesday,274.74,271.212,23422485.0,0,2020-11-25
2020-11-26 00:00:00+00:00,274.6241426420493,276.74607804088765,274.50042889782384,HD,IEXG,Thursday,276.9813423224401,272.4465921200837,3559867.8925268133,1,2020-11-26
2020-11-27 00:00:00+00:00,275.24,275.99,273.96,HD,IEXG,Friday,276.58,274.36,5261021.0,0,2020-11-27
2020-11-30 00:00:00+00:00,275.22,277.41,275.99,HD,IEXG,Monday,277.76,271.92,30663055.0,0,2020-11-30
2020-12-01 00:00:00+00:00,278.73,276.6,277.41,HD,IEXG,Tuesday,279.11,275.55,15598005.0,0,2020-12-01
2020-12-02 00:00:00+00:00,273.97,271.1,275.07798972854,HD,IEXG,Wednesday,275.43,269.57,33397051.0,0,2020-12-02
2020-12-03 00:00:00+00:00,270.63,268.14,271.1,HD,IEXG,Thursday,271.93,267.14,34714536.0,0,2020-12-03
2020-12-04 00:00:00+00:00,267.47,263.99,268.14,HD,IEXG,Friday,268.73,262.82,51724343.0,0,2020-12-04
2020-12-07 00:00:00+00:00,263.5,262.64,263.99,HD,IEXG,Monday,264.58,261.0,41381841.0,0,2020-12-07
2020-12-08 00:00:00+00:00,261.72,261.72,262.64,HD,IEXG,Tuesday,262.5,258.73,36026163.0,0,2020-12-08
2020-12-09 00:00:00+00:00,264.61,265.58,261.72,HD,IEXG,Wednesday,265.7708,262.25,26354590.0,0,2020-12-09
2020-12-10 00:00:00+00:00,264.08,264.81,265.58,HD,IEXG,Thursday,266.07,262.11,25947437.0,0,2020-12-10
2020-12-11 00:00:00+00:00,263.36,264.55,264.81,HD,IEXG,Friday,265.37,262.64599999999996,35144001.0,0,2020-12-11
2020-12-14 00:00:00+00:00,266.14,265.58,264.55,HD,IEXG,Monday,268.5999,265.27,26164055.0,0,2020-12-14
2020-12-15 00:00:00+00:00,267.51,267.98,265.58,HD,IEXG,Tuesday,268.7628,266.2,23286463.0,0,2020-12-15
2020-12-16 00:00:00+00:00,268.53,269.59,267.98,HD,IEXG,Wednesday,270.75,267.51,24195013.0,0,2020-12-16
2020-12-17 00:00:00+00:00,272.16,273.97,269.59,HD,IEXG,Thursday,274.33,270.51,21742981.0,0,2020-12-17
2020-12-18 00:00:00+00:00,274.59,270.45,273.97,HD,IEXG,Friday,275.74,270.3,22561634.0,0,2020-12-18
2020-12-21 00:00:00+00:00,268.56,270.99,270.45,HD,IEXG,Monday,271.95,265.88,24194510.0,0,2020-12-21
2020-12-22 00:00:00+00:00,270.06,270.04,270.99,HD,IEXG,Tuesday,271.84,268.51,12513606.0,0,2020-12-22
2020-12-23 00:00:00+00:00,270.06,269.81,270.04,HD,IEXG,Wednesday,271.0,268.2,10197963.0,0,2020-12-23
2020-12-24 00:00:00+00:00,269.44,270.92,269.81,HD,IEXG,Thursday,271.36,269.4,4558073.0,0,2020-12-24
